HomeTeam,AwayTeam,ScoreHome,ScoreAway,TotalScore
Toronto Raptors,Philadelphia 76ers,110,103,213
New Orleans Pelicans,Boston Celtics,120,115,235
Portland Trail Blazers,Washington Wizards,111,118,229
Chicago Bulls,Sacramento Kings,122,114,236
Memphis Grizzlies,Phoenix Suns,97,128,225
Los Angeles Lakers,Miami Heat,94,96,190
Charlotte Hornets,Golden State Warriors,102,100,202
Los Angeles Clippers,Utah Jazz,116,112,228
Minnesota Timberwolves,Toronto Raptors,81,86,167
Memphis Grizzlies,Detroit Pistons,109,95,204
Milwaukee Bucks,Oklahoma City Thunder,98,85,183
New Orleans Pelicans,Phoenix Suns,114,132,246
Boston Celtics,Atlanta Hawks,121,109,230
Philadelphia 76ers,Chicago Bulls,112,105,217
Cleveland Cavaliers,Denver Nuggets,103,120,223
Orlando Magic,Golden State Warriors,124,120,244
Los Angeles Lakers,Brooklyn Nets,98,109,207
Sacramento Kings,Miami Heat,110,118,228
Milwaukee Bucks,Toronto Raptors,96,110,206
Golden State Warriors,Miami Heat,120,112,232
Los Angeles Clippers,Utah Jazz,96,114,210
Memphis Grizzlies,Oklahoma City Thunder,122,113,235
New Orleans Pelicans,Portland Trail Blazers,124,126,250
Chicago Bulls,Detroit Pistons,105,102,207
Minnesota Timberwolves,Indiana Pacers,128,134,262
Washington Wizards,Denver Nuggets,130,128,258
Boston Celtics,Atlanta Hawks,114,122,236
Philadelphia 76ers,Houston Rockets,118,113,231
Orlando Magic,New York Knicks,107,89,196
Phoenix Suns,Brooklyn Nets,124,128,252
Memphis Grizzlies,New Orleans Pelicans,113,144,257
Milwaukee Bucks,Toronto Raptors,113,124,237
Minnesota Timberwolves,Los Angeles Lakers,104,112,216
Oklahoma City Thunder,Portland Trail Blazers,104,115,219
Boston Celtics,Denver Nuggets,112,99,211
Golden State Warriors,Cleveland Cavaliers,129,98,227
Los Angeles Clippers,Miami Heat,125,118,243
Sacramento Kings,Brooklyn Nets,125,136,261
Utah Jazz,Philadelphia 76ers,134,123,257
New York Knicks,Atlanta Hawks,123,112,235
Indiana Pacers,Chicago Bulls,112,120,232
Washington Wizards,Houston Rockets,131,119,250
Denver Nuggets,Los Angeles Lakers,122,105,227
Los Angeles Clippers,Cleveland Cavaliers,128,111,239
Sacramento Kings,Memphis Grizzlies,110,124,234
Phoenix Suns,Orlando Magic,109,90,199
Oklahoma City Thunder,Milwaukee Bucks,114,109,223
Dallas Mavericks,Portland Trail Blazers,118,121,239
Charlotte Hornets,San Antonio Spurs,110,122,232
Detroit Pistons,New Orleans Pelicans,123,112,235
Toronto Raptors,Minnesota Timberwolves,112,116,228
Washington Wizards,Boston Celtics,104,91,195
Utah Jazz,Miami Heat,112,94,206
Golden State Warriors,Brooklyn Nets,117,134,251
New York Knicks,Houston Rockets,121,99,220
Atlanta Hawks,Indiana Pacers,113,125,238
Phoenix Suns,Philadelphia 76ers,120,111,231
Los Angeles Lakers,Memphis Grizzlies,115,105,220
Portland Trail Blazers,Cleveland Cavaliers,129,110,239
Sacramento Kings,Orlando Magic,112,123,235
Denver Nuggets,Oklahoma City Thunder,97,95,192
Utah Jazz,Milwaukee Bucks,129,115,244
Boston Celtics,Detroit Pistons,102,108,210
Chicago Bulls,Los Angeles Clippers,106,125,231
Atlanta Hawks,San Antonio Spurs,114,125,239
Dallas Mavericks,New Orleans Pelicans,143,130,273
Charlotte Hornets,Minnesota Timberwolves,120,114,234
Washington Wizards,New York Knicks,91,109,200
Golden State Warriors,Orlando Magic,111,105,216
Portland Trail Blazers,Philadelphia 76ers,118,114,232
Detroit Pistons,Indiana Pacers,95,111,206
Boston Celtics,Toronto Raptors,120,106,226
Houston Rockets,Miami Heat,94,101,195
Los Angeles Lakers,Oklahoma City Thunder,114,113,227
Phoenix Suns,Milwaukee Bucks,125,124,249
Chicago Bulls,New Orleans Pelicans,129,116,245
Denver Nuggets,Cleveland Cavaliers,133,95,228
Brooklyn Nets,Indiana Pacers,104,94,198
Memphis Grizzlies,Charlotte Hornets,130,114,244
Minnesota Timberwolves,Los Angeles Clippers,112,119,231
Dallas Mavericks,Atlanta Hawks,118,117,235
Washington Wizards,Toronto Raptors,115,137,252
Portland Trail Blazers,Orlando Magic,106,97,203
Sacramento Kings,Philadelphia 76ers,111,119,230
Utah Jazz,Boston Celtics,122,108,230
San Antonio Spurs,Golden State Warriors,91,114,205
Miami Heat,New York Knicks,98,96,194
New Orleans Pelicans,Houston Rockets,130,101,231
Detroit Pistons,Brooklyn Nets,122,111,233
Los Angeles Lakers,Oklahoma City Thunder,119,112,231
Denver Nuggets,Milwaukee Bucks,112,125,237
Phoenix Suns,Cleveland Cavaliers,119,113,232
Dallas Mavericks,Minnesota Timberwolves,127,122,249
San Antonio Spurs,Golden State Warriors,105,100,205
Chicago Bulls,Washington Wizards,101,105,206
Memphis Grizzlies,Toronto Raptors,113,128,241
Charlotte Hornets,Houston Rockets,119,94,213
Los Angeles Clippers,Sacramento Kings,110,113,223
Phoenix Suns,Boston Celtics,100,91,191
Charlotte Hornets,Washington Wizards,119,97,216
Indiana Pacers,Utah Jazz,95,103,198
New York Knicks,Miami Heat,103,109,212
Los Angeles Lakers,Detroit Pistons,135,129,264
New Orleans Pelicans,Memphis Grizzlies,118,109,227
Dallas Mavericks,Golden State Warriors,134,132,266
Atlanta Hawks,Toronto Raptors,132,121,253
Cleveland Cavaliers,Milwaukee Bucks,99,124,223
Houston Rockets,San Antonio Spurs,106,111,217
Oklahoma City Thunder,Minnesota Timberwolves,120,118,238
Philadelphia 76ers,Brooklyn Nets,124,108,232
Orlando Magic,Chicago Bulls,92,118,210
Sacramento Kings,Denver Nuggets,119,114,233
New York Knicks,Portland Trail Blazers,110,99,209
Los Angeles Clippers,Boston Celtics,115,119,234
Phoenix Suns,Detroit Pistons,109,92,201
Charlotte Hornets,Utah Jazz,121,138,259
Miami Heat,Washington Wizards,122,95,217
Oklahoma City Thunder,Minnesota Timberwolves,103,106,209
Brooklyn Nets,Toronto Raptors,117,123,240
Cleveland Cavaliers,Milwaukee Bucks,105,123,228
Indiana Pacers,New Orleans Pelicans,113,114,227
Orlando Magic,Chicago Bulls,123,119,242
Los Angeles Lakers,Denver Nuggets,114,93,207
Memphis Grizzlies,Houston Rockets,103,115,218
Philadelphia 76ers,Portland Trail Blazers,105,121,226
Atlanta Hawks,Utah Jazz,91,112,203
Dallas Mavericks,Golden State Warriors,116,147,263
Sacramento Kings,Boston Celtics,116,111,227
New Orleans Pelicans,Phoenix Suns,123,101,224
San Antonio Spurs,Minnesota Timberwolves,111,108,219
Chicago Bulls,New York Knicks,103,107,210
Cleveland Cavaliers,Los Angeles Clippers,99,121,220
Miami Heat,Washington Wizards,100,103,203
Oklahoma City Thunder,Houston Rockets,104,87,191
Atlanta Hawks,Dallas Mavericks,116,122,238
Charlotte Hornets,Philadelphia 76ers,111,118,229
Milwaukee Bucks,Indiana Pacers,130,110,240
Golden State Warriors,Boston Celtics,107,111,218
Utah Jazz,Detroit Pistons,117,105,222
Indiana Pacers,Memphis Grizzlies,134,116,250
Washington Wizards,Portland Trail Blazers,121,132,253
Brooklyn Nets,Los Angeles Clippers,124,120,244
Orlando Magic,Toronto Raptors,108,123,231
Dallas Mavericks,Phoenix Suns,108,109,217
San Antonio Spurs,Memphis Grizzlies,102,133,235
Chicago Bulls,New York Knicks,110,102,212
Cleveland Cavaliers,Minnesota Timberwolves,100,98,198
Milwaukee Bucks,Portland Trail Blazers,134,106,240
New Orleans Pelicans,Sacramento Kings,109,118,227
Oklahoma City Thunder,Houston Rockets,106,136,242
Atlanta Hawks,Los Angeles Lakers,99,107,206
Miami Heat,Charlotte Hornets,121,129,250
Minnesota Timberwolves,Cleveland Cavaliers,109,104,213
Indiana Pacers,Philadelphia 76ers,110,119,229
Toronto Raptors,Orlando Magic,115,102,217
Washington Wizards,Brooklyn Nets,149,146,295
Denver Nuggets,Utah Jazz,128,117,245
New York Knicks,Los Angeles Clippers,115,129,244
Golden State Warriors,Detroit Pistons,118,91,209
Dallas Mavericks,Phoenix Suns,105,111,216
Boston Celtics,Los Angeles Lakers,95,96,191
San Antonio Spurs,Memphis Grizzlies,112,129,241
Charlotte Hornets,Milwaukee Bucks,126,114,240
Chicago Bulls,Portland Trail Blazers,122,123,245
Miami Heat,Sacramento Kings,105,104,209
New Orleans Pelicans,Houston Rockets,112,126,238
Utah Jazz,Dallas Mavericks,120,101,221
San Antonio Spurs,Denver Nuggets,119,109,228
Minnesota Timberwolves,Philadelphia 76ers,94,118,212
Oklahoma City Thunder,Brooklyn Nets,125,147,272
Orlando Magic,Los Angeles Clippers,90,116,206
New Orleans Pelicans,Milwaukee Bucks,131,126,257
New York Knicks,Cleveland Cavaliers,102,81,183
Toronto Raptors,Sacramento Kings,124,126,250
Charlotte Hornets,Indiana Pacers,108,105,213
Washington Wizards,Atlanta Hawks,100,116,216
Phoenix Suns,Golden State Warriors,114,93,207
Detroit Pistons,Los Angeles Lakers,107,92,199
Miami Heat,Los Angeles Clippers,105,109,214
Houston Rockets,Portland Trail Blazers,104,101,205
Golden State Warriors,Minnesota Timberwolves,123,111,234
New Orleans Pelicans,Washington Wizards,124,106,230
Phoenix Suns,Oklahoma City Thunder,97,102,199
Utah Jazz,Dallas Mavericks,116,104,220
San Antonio Spurs,Boston Celtics,110,106,216
Atlanta Hawks,Brooklyn Nets,128,132,260
Miami Heat,Denver Nuggets,82,109,191
Philadelphia 76ers,Los Angeles Lakers,107,106,213
Toronto Raptors,Milwaukee Bucks,108,115,223
Charlotte Hornets,Indiana Pacers,106,116,222
Cleveland Cavaliers,Detroit Pistons,122,107,229
Orlando Magic,Sacramento Kings,107,121,228
Utah Jazz,New York Knicks,108,94,202
Houston Rockets,Washington Wizards,107,88,195
Atlanta Hawks,Los Angeles Clippers,108,99,207
Golden State Warriors,Minnesota Timberwolves,130,108,238
Portland Trail Blazers,Oklahoma City Thunder,122,125,247
Chicago Bulls,Boston Celtics,103,119,222
Dallas Mavericks,Denver Nuggets,113,117,230
Cleveland Cavaliers,Los Angeles Lakers,108,115,223
Brooklyn Nets,Miami Heat,98,85,183
Detroit Pistons,Philadelphia 76ers,119,104,223
Indiana Pacers,Toronto Raptors,129,114,243
Orlando Magic,Charlotte Hornets,117,108,225
